Ensembl	Gene_Name	PROBE_ID	nuID	Average_lumi	p.value	Fold_Change	q.value	DE	Probes_per_gene	Multiple_probes	Biotype	Chr	Gene_start	Gene_Description
ENSMUSG00000034317	Trim59	ILMN_2993661	3iOKAQC5S7ySuoCdPc	9.26	6.6234E-15	4.39	2.9757E-12	1	1	2	protein_coding	3	68839210	tripartite motif-containing 59 Gene [Source:MGI (curated);Acc:MGI:1914199]
ENSMUSG00000023764	Sfi1	ILMN_1256699	unCUoolgNYoX0XIIko	10.06	1.3786E-14	0.39	5.7895E-12	1	2	1	protein_coding	11	3031853	"Sfi1 homolog, spindle assembly associated (yeast) Gene [Source:MGI (curated);Acc:MGI:1926137]"
ENSMUSG00000022066	Entpd4	ILMN_2589312	6URPn4S1__0Z7r5J7Y	8.89	2.2850E-14	1.74	8.9674E-12	1	1	2	protein_coding	14	69955242	ectonucleoside triphosphate diphosphohydrolase 4 Gene [Source:MGI Symbol;Acc:MGI:1914714]
ENSMUSG00000064023	Klk8	ILMN_2675232	iWIBei3EUA3lnEcXo0	9.01	7.1904E-14	0.54	2.6615E-11	1	1	2	protein_coding	7	51052947	kallikrein related-peptidase 8 Gene [Source:MGI Symbol;Acc:MGI:1343327]
ENSMUSG00000005142	Man2b1	ILMN_2707967	oVxdLRHglzoDGxfXpc	10.78	1.2161E-13	1.80	4.2652E-11	1	1	2	protein_coding	8	87607223	"mannosidase 2, alpha B1 Gene [Source:MGI Symbol;Acc:MGI:107286]"
ENSMUSG00000020629	Adi1	ILMN_3143557	ZdUjfyu3vruCc5deQg	8.99	1.7329E-13	0.38	5.5378E-11	1	2	1	protein_coding	12	29360096	acireductone dioxygenase 1 Gene [Source:MGI (curated);Acc:MGI:2144929]
ENSMUSG00000059005	Hnrnpa3	ILMN_1220620	6s4fwwnvVFcIHKB.RI	8.89	1.7625E-13	1.88	5.5378E-11	1	1	2	protein_coding	2	75497318	heterogeneous nuclear ribonucleoprotein A3 Gene [Source:MGI (curated);Acc:MGI:1917171]
ENSMUSG00000052270	Fpr2	ILMN_1242457	l0JFL3H0XXkhPi8ClU	8.94	2.1003E-13	0.46	6.2929E-11	1	1	2	protein_coding	17	18024788	formyl peptide receptor 2 Gene [Source:MGI (curated);Acc:MGI:1278319]
ENSMUSG00000068921	Dap3	ILMN_2953910	NnXi57Po.kEKCvdFek	9.56	2.5403E-13	1.88	7.2655E-11	1	4	1	protein_coding	3	88724725	death associated protein 3 Gene [Source:MGI (curated);Acc:MGI:1929538]
ENSMUSG00000063897	Dhrsx	ILMN_2897020	Hco2hdESWK.xUEh6RY	8.93	2.8794E-13	2.33	7.5515E-11	1	2	4	protein_coding	NT_166291	15881	dehydrogenase/reductase (SDR family) X chromosome Gene [Source:MGI Symbol;Acc:MGI:2181510]
ENSMUSG00000022814	Umps	ILMN_2987878	9ihh8c9RU8AcEEsV_k	8.89	2.8438E-13	1.78	7.5515E-11	1	3	4	protein_coding	16	33954868	uridine monophosphate synthetase Gene [Source:MGI (curated);Acc:MGI:1298388]
ENSMUSG00000027423	Snx5	ILMN_2706101	HrBCQgjdM7f.E1.EnU	8.93	4.1445E-13	3.64	1.0421E-10	1	1	2	protein_coding	2	144075859	sorting nexin 5 Gene [Source:MGI (curated);Acc:MGI:1916428]
ENSMUSG00000029007	Agtrap	ILMN_2590950	uu4dKhy4K_IMugXY6w	10.06	5.2624E-13	1.82	1.2731E-10	1	1	2	protein_coding	4	147451170	"angiotensin II, type I receptor-associated protein Gene [Source:MGI (curated);Acc:MGI:1339977]"
ENSMUSG00000036246	Gmip	ILMN_2788574	NqeFkuufnsCXRP76F0	9.56	6.6962E-13	0.58	1.5616E-10	1	2	1	protein_coding	8	72332578	Gem-interacting protein Gene [Source:MGI (curated);Acc:MGI:1926066]
ENSMUSG00000025451	Paip1	ILMN_2752569	uSvrfageeDne.3DXOg	10.06	7.4764E-13	0.44	1.6811E-10	1	1	2	protein_coding	13	120217407	polyadenylate binding protein-interacting protein 1 Gene [Source:MGI (curated);Acc:MGI:2384993]
ENSMUSG00000055917	Zfp277	ILMN_3123889	HiCeeSkS7Rev917iEQ	8.93	7.8906E-13	2.09	1.7121E-10	1	3	1	protein_coding	12	41041633	zinc finger protein 277 Gene [Source:MGI Symbol;Acc:MGI:1890393]
ENSMUSG00000024026	Glo1	ILMN_2667352	imC.Xl55LoIam6kOUI	9.24	1.5871E-12	0.51	3.3353E-10	1	1	2	protein_coding	17	30729811	glyoxalase 1 Gene [Source:MGI Symbol;Acc:MGI:95742]
ENSMUSG00000068921	Dap3	ILMN_2722542	KVCvUJ4EV4XkeOjOA4	8.94	1.8211E-12	1.88	3.6946E-10	1	4	1	protein_coding	3	88724725	death associated protein 3 Gene [Source:MGI (curated);Acc:MGI:1929538]
ENSMUSG00000055976	Cldn23	ILMN_2758545	ct9QCUKY5xHte9WIxc	8.89	2.3218E-12	0.67	4.5624E-10	1	1	2	protein_coding	8	36888496	claudin 23 Gene [Source:MGI Symbol;Acc:MGI:1919158]
ENSMUSG00000078739	CT868723.1	ILMN_1213286	iNE3kaU1f3xemieX1c	9.24	6.2910E-12	3.88	1.1995E-09	1	1	2	protein_coding	4	42231044	C-C motif chemokine 21b Precursor (Small-inducible cytokine A21b)(Beta-chemokine exodus-2)(6Ckine)(Thymus-derived chemotactic agent 4)(TCA4) [Source:UniProtKB/Swiss-Prot;Acc:P84444]
ENSMUSG00000023236	Scg5	ILMN_2592953	Q5dTFDl7n95xPIMAnU	9.09	6.5735E-12	0.50	1.2160E-09	1	1	2	protein_coding	2	113616519	secretogranin V Gene [Source:MGI (curated);Acc:MGI:98289]
ENSMUSG00000064080	Fbln2	ILMN_1245307	cwfDTnievrfi3cVyKg	8.89	7.5483E-12	0.60	1.3198E-09	1	1	2	protein_coding	6	91162449	fibulin 2 Gene [Source:MGI (curated);Acc:MGI:95488]
ENSMUSG00000022680	Pdxdc1	ILMN_3105205	ojjuhv3icuiFPktElY	9.56	7.4401E-12	1.98	1.3198E-09	1	3	5	protein_coding	16	13833241	pyridoxal-dependent decarboxylase domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1920909]
ENSMUSG00000020912	Krt12	ILMN_2865527	9kFUjRfEX16l4ILf1E	8.89	9.8489E-12	3.67	1.6297E-09	1	1	2	protein_coding	11	99276980	keratin 12 Gene [Source:MGI (curated);Acc:MGI:96687]
ENSMUSG00000032221	Mns1	ILMN_2678431	0vrhLKV63N5O9wBNdc	9.26	1.0072E-11	0.64	1.6297E-09	1	1	2	protein_coding	9	72286347	meiosis-specific nuclear structural protein 1 Gene [Source:MGI Symbol;Acc:MGI:107933]
ENSMUSG00000048078	Odz4	ILMN_3162820	ZgKlCl6H35QIScd97o	8.99	9.7154E-12	0.50	1.6297E-09	1	1	2	protein_coding	7	103319754	odd Oz/ten-m homolog 4 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:2447063]
ENSMUSG00000032641	Gpr19	ILMN_1257801	iaA1dW4koUwUCHU3OE	9.24	1.0723E-11	0.51	1.6834E-09	1	1	2	protein_coding	6	134819126	G protein-coupled receptor 19 Gene [Source:MGI (curated);Acc:MGI:892973]
ENSMUSG00000068921	Dap3	ILMN_2620078	3mTigtUK9QngRXheR4	9.26	1.2404E-11	1.95	1.9032E-09	1	4	1	protein_coding	3	88724725	death associated protein 3 Gene [Source:MGI (curated);Acc:MGI:1929538]
ENSMUSG00000020903	Stx8	ILMN_3064056	KegUuF57ib3oFLhee4	8.94	1.2900E-11	1.94	1.9328E-09	1	3	4	protein_coding	11	67779695	syntaxin 8 Gene [Source:MGI (curated);Acc:MGI:1890156]
ENSMUSG00000021288	Klc1	ILMN_3042059	iEXcsq36IlHdLSQq64	9.24	1.3426E-11	1.84	1.9611E-09	1	2	4	protein_coding	12	112997060	kinesin light chain 1 Gene [Source:MGI (curated);Acc:MGI:107978]
ENSMUSG00000030302	Atp2b2	ILMN_2688213	uwOKO6CIyFGSJqJ9ls	10.06	1.4207E-11	0.46	2.0309E-09	1	2	4	protein_coding	6	113695663	"ATPase, Ca++ transporting, plasma membrane 2 Gene [Source:MGI (curated);Acc:MGI:105368]"
ENSMUSG00000028393	Alad	ILMN_2655015	xhQnV6l8SCqgLA5nvI	8.99	2.8291E-11	0.46	3.8989E-09	1	1	2	protein_coding	4	62170203	"aminolevulinate, delta-, dehydratase Gene [Source:MGI (curated);Acc:MGI:96853]"
ENSMUSG00000042369	Rbm45	ILMN_3163340	HLOWMgImUOKU0Qd5Go	8.93	2.8469E-11	0.52	3.8989E-09	1	2	4	protein_coding	2	76208041	RNA binding motif protein 45 Gene [Source:MGI (curated);Acc:MGI:2387367]
ENSMUSG00000022132	Cldn10a	ILMN_1214954	NQhFSDqcRMQaFRt5Ts	9.56	3.2164E-11	2.15	4.3113E-09	1	3	4	protein_coding	14	119187130	claudin 10A Gene [Source:MGI (curated);Acc:MGI:1913101]
ENSMUSG00000062627	Mysm1	ILMN_3119954	9LSondS50K8l6BKKHE	8.89	3.6222E-11	0.57	4.7459E-09	1	1	2	protein_coding	4	94608731	"myb-like, SWIRM and MPN domains 1 Gene [Source:MGI (curated);Acc:MGI:2444584]"
ENSMUSG00000036339	6720456H20Rik	ILMN_2668886	xqT7p5TTRyQJHiRtUc	8.99	4.4990E-11	1.65	5.7792E-09	1	1	2	protein_coding	14	49065803	RIKEN cDNA 6720456H20 gene Gene [Source:MGI Symbol;Acc:MGI:2443219]
ENSMUSG00000030536	Iqgap1	ILMN_2654495	9ehXyneHBAhL0nUhHg	8.89	5.7440E-11	0.54	7.2243E-09	1	1	2	protein_coding	7	87857673	IQ motif containing GTPase activating protein 1 Gene [Source:MGI Symbol;Acc:MGI:1352757]
ENSMUSG00000026344	Lypd1	ILMN_1239134	oaxQ39J3uftp9._Uek	9.56	6.6924E-11	0.52	8.2549E-09	1	1	2	protein_coding	1	127764199	Ly6/Plaur domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1919835]
ENSMUSG00000079785	AC087559.3	ILMN_2602139	Z1tRFflefQU8TeRpTU	8.99	8.3645E-11	2.49	1.0117E-08	1	2	1	protein_coding	NT_166434	1	C-C motif chemokine 21a Precursor (Small-inducible cytokine A21a)(Small-inducible cytokine A21c)(Beta-chemokine exodus-2)(6Ckine)(Thymus-derived chemotactic agent 4)(TCA4) [Source:UniProtKB/Swiss-Prot;Acc:P84443]
ENSMUSG00000026563	Tada1l	ILMN_2679662	QSDe8uHLyQei9UJBWc	9.09	8.9971E-11	2.44	1.0686E-08	1	1	2	protein_coding	1	168309228	transcriptional adaptor 1 Gene [Source:MGI (curated);Acc:MGI:1196415]
ENSMUSG00000022770	Dlg1	ILMN_2763839	u1T7V7hV5XlLV54ix4	10.06	1.0226E-10	1.50	1.1887E-08	1	1	2	protein_coding	16	31663529	"discs, large homolog 1 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:107231]"
ENSMUSG00000049562	Gm962	ILMN_2531520	rZeiAnSujruXslcKHg	9.09	1.0960E-10	0.52	1.2474E-08	1	1	2	protein_coding	19	5568025	predicted gene 962 Gene [Source:MGI Symbol;Acc:MGI:2685808]
ENSMUSG00000025940	Tmem70	ILMN_2678389	f7AO6OtODPeszs6cT8	8.89	1.1053E-10	1.87	1.2474E-08	1	2	1	protein_coding	1	16655272	transmembrane protein 70 Gene [Source:MGI Symbol;Acc:MGI:1915068]
ENSMUSG00000069911	Fam196b	ILMN_3162060	fEdLNXoHw5SdN7ImX0	8.89	1.1863E-10	0.50	1.3138E-08	1	1	2	protein_coding	11	34214822	"family with sequence similarity 196, member B Gene [Source:MGI Symbol;Acc:MGI:3643491]"
ENSMUSG00000082286	Pisd-ps1	ILMN_2944601	fr4pfleSCyqE55z63I	8.93	1.3972E-10	0.43	1.4932E-08	1	1	2	processed_transcript	11	3025789	"phosphatidylserine decarboxylase, pseudogene 1 Pseudogene [Source:MGI (curated);Acc:MGI:3842428]"
ENSMUSG00000037578	Pkd2l1	ILMN_2731331	Trrd6d320yhDuK9Qrg	10.06	1.4023E-10	1.57	1.4932E-08	1	1	2	protein_coding	19	44222127	polycystic kidney disease 2-like 1 Gene [Source:MGI (curated);Acc:MGI:1352448]
ENSMUSG00000026639	Lamb3	ILMN_2605512	ETIetFehufQrHvVHiU	8.89	1.5331E-10	0.59	1.6047E-08	1	1	2	protein_coding	1	195128151	"laminin, beta 3 Gene [Source:MGI (curated);Acc:MGI:99915]"
ENSMUSG00000032667	Pon2	ILMN_1233836	BguHXKk9r6EoNDpTvA	8.89	1.8541E-10	1.49	1.9085E-08	1	1	2	protein_coding	6	5214147	paraoxonase 2 Gene [Source:MGI (curated);Acc:MGI:106687]
ENSMUSG00000021482	1110018J18Rik	ILMN_2647669	BfSJe6aktHpUf.j9Qo	8.89	1.9468E-10	0.77	1.9792E-08	1	2	1	protein_coding	13	64393144	RIKEN cDNA 1110018J18 gene Gene [Source:MGI Symbol;Acc:MGI:1913379]
ENSMUSG00000004415	Emid2	ILMN_1247358	oV7Kd3eLz3e3UUorjQ	10.78	1.9983E-10	1.47	1.9978E-08	1	1	2	protein_coding	5	137217629	EMI domain containing 2 Gene [Source:MGI (curated);Acc:MGI:2155345]
ENSMUSG00000028619	2210012G02Rik	ILMN_1247919	oEitOowMQWHcl0L0W0	9.56	2.1007E-10	1.86	2.0649E-08	1	4	5	protein_coding	4	106806760	RIKEN cDNA 2210012G02 gene Gene [Source:MGI Symbol;Acc:MGI:1913776]
ENSMUSG00000049122	Frmd3	ILMN_1226295	KR8l0h9K5PhU1PLAnk	8.94	2.2122E-10	0.66	2.1262E-08	1	1	2	protein_coding	4	73659338	FERM domain containing 3 Gene [Source:MGI (curated);Acc:MGI:2442466]
ENSMUSG00000027669	Gnb4	ILMN_2726905	WuUz.e91DjF6IDW7xI	8.99	2.2308E-10	0.31	2.1262E-08	1	1	2	protein_coding	3	32479254	"guanine nucleotide binding protein (G protein), beta 4 Gene [Source:MGI (curated);Acc:MGI:104581]"
ENSMUSG00000047228	BC048546	ILMN_2984219	B7gjnd6fx17bdNRYok	8.89	2.3506E-10	0.40	2.1432E-08	1	2	1	protein_coding	6	128489840	Ovostatin homolog Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q3UU35]
ENSMUSG00000030761	Myo7a	ILMN_1251839	6RT6gfrW6iQHne4hNk	8.89	2.2954E-10	1.52	2.1432E-08	1	1	2	protein_coding	7	105199570	myosin VIIA Gene [Source:MGI (curated);Acc:MGI:104510]
ENSMUSG00000057246	Tesb	ILMN_2936419	TZ1EhaIp1.YCwFFYIE	10.06	2.3345E-10	1.43	2.1432E-08	1	1	2	protein_coding	17	34535765	testis specific basic protein Gene [Source:MGI (curated);Acc:MGI:1932034]
ENSMUSG00000025217	Btrc	ILMN_3027079	iYp_l5ECn6DJSRSkUc	9.01	2.7145E-10	1.34	2.4197E-08	1	1	2	protein_coding	19	45438235	beta-transducin repeat containing protein Gene [Source:MGI Symbol;Acc:MGI:1338871]
ENSMUSG00000058174	Gm5148	ILMN_2998738	BqVCICT1FO3zui3RSU	8.89	2.7316E-10	1.57	2.4197E-08	1	1	2	protein_coding	3	37613112	predicted gene 5148 Gene [Source:MGI Symbol;Acc:MGI:3646006]
ENSMUSG00000036896	C1qc	ILMN_2715840	cE2TGlBe5uReBdBflI	8.89	2.8124E-10	1.64	2.4560E-08	1	1	2	protein_coding	4	136445719	"complement component 1, q subcomponent, C chain Gene [Source:MGI (curated);Acc:MGI:88225]"
ENSMUSG00000038422	Hdhd3	ILMN_2608145	B7IF5LppUbqoy8Xe48	8.89	2.9059E-10	0.59	2.5086E-08	1	1	2	protein_coding	4	62160042	haloacid dehalogenase-like hydrolase domain containing 3 Gene [Source:MGI (curated);Acc:MGI:1919998]
ENSMUSG00000068299	1700019G17Rik	ILMN_2758803	lnSiHeiJvXd47RUpLA	8.94	3.8260E-10	1.49	3.2136E-08	1	1	2	protein_coding	6	85849045	RIKEN cDNA 1700019G17 gene Gene [Source:MGI Symbol;Acc:MGI:1922791]
ENSMUSG00000070730	Fam82a2	ILMN_3071764	iTtIXx4ooiaggtc5XA	9.01	3.8254E-10	0.63	3.2136E-08	1	1	2	protein_coding	2	118962737	"family with sequence similarity 82, member A2 Gene [Source:MGI (curated);Acc:MGI:1915059]"
ENSMUSG00000079785	AC087559.3	ILMN_2969845	9LJWXolSiNVRgfQnq4	8.89	4.1839E-10	2.78	3.4611E-08	1	2	1	protein_coding	NT_166434	1	C-C motif chemokine 21a Precursor (Small-inducible cytokine A21a)(Small-inducible cytokine A21c)(Beta-chemokine exodus-2)(6Ckine)(Thymus-derived chemotactic agent 4)(TCA4) [Source:UniProtKB/Swiss-Prot;Acc:P84443]
ENSMUSG00000034875	Nudt19	ILMN_2750402	Zj.vaNlTSCxeIDp5Qw	8.99	4.9376E-10	1.93	4.0373E-08	1	2	1	protein_coding	7	36332204	nudix (nucleoside diphosphate linked moiety X)-type motif 19 Gene [Source:MGI (curated);Acc:MGI:94203]
ENSMUSG00000056116	H2-T22	ILMN_1214731	QerXFdLn0qE.DStA_o	9.09	5.5790E-10	1.67	4.5019E-08	1	1	2	protein_coding	17	36175352	"histocompatibility 2, T region locus 22 Gene [Source:MGI (curated);Acc:MGI:95956]"
ENSMUSG00000030560	Ctsc	ILMN_1238486	ug._0XH31fIJPznU6E	10.06	5.9147E-10	1.36	4.7078E-08	1	2	1	protein_coding	7	95426595	cathepsin C Gene [Source:MGI (curated);Acc:MGI:109553]
ENSMUSG00000028619	2210012G02Rik	ILMN_2751248	QyEnWCXdIHVt53f53E	9.09	6.3470E-10	1.31	4.9950E-08	1	4	5	protein_coding	4	106806760	RIKEN cDNA 2210012G02 gene Gene [Source:MGI Symbol;Acc:MGI:1913776]
ENSMUSG00000024787	Snx15	ILMN_1225570	BegHMH4IR04tR6k0Vo	8.89	6.5777E-10	0.59	5.1120E-08	1	4	4	protein_coding	19	6119399	sorting nexin 15 Gene [Source:MGI (curated);Acc:MGI:1916274]
ENSMUSG00000021876	Rnase4	ILMN_1235657	TdwRV_IUPeUez8gn_I	9.09	8.5804E-10	0.58	6.5846E-08	1	1	2	protein_coding	14	51710847	"ribonuclease, RNase A family 4 Gene [Source:MGI Symbol;Acc:MGI:1926217]"
ENSMUSG00000067274	Rplp0	ILMN_1249815	lda3o.Py.vR8JKOACQ	8.94	8.8811E-10	1.61	6.7327E-08	1	1	2	protein_coding	5	116009476	"ribosomal protein, large, P0 Gene [Source:MGI (curated);Acc:MGI:1927636]"
ENSMUSG00000066850	Vmn1r65	ILMN_2971043	BVJzS_C.97iiWV_Q2U	8.89	9.6176E-10	0.53	7.2069E-08	1	1	2	protein_coding	7	5959352	vomeronasal 1 receptor 65 Gene [Source:MGI Symbol;Acc:MGI:3033475]
ENSMUSG00000034845	Plvap	ILMN_2984110	KXVeCr3JRRlRKPVPK8	8.94	1.1617E-09	0.42	8.5880E-08	1	1	2	protein_coding	8	74021666	plasmalemma vesicle associated protein Gene [Source:MGI Symbol;Acc:MGI:1890497]
ENSMUSG00000036138	Acaa1a	ILMN_2762728	Q6hFevkCU.sX_Kio5I	9.09	1.2300E-09	1.88	9.0004E-08	1	1	2	protein_coding	9	119250578	acetyl-Coenzyme A acyltransferase 1A Gene [Source:MGI Symbol;Acc:MGI:2148491]
ENSMUSG00000033880	Lgals3bp	ILMN_1258526	NrTGVfcXRwdR4TrsDo	9.56	1.3260E-09	1.45	9.5824E-08	1	1	2	protein_coding	11	118254065	"lectin, galactoside-binding, soluble, 3 binding protein Gene [Source:MGI (curated);Acc:MGI:99554]"
ENSMUSG00000005628	Tmod4	ILMN_2488846	Tbc_1n2rFH8RBChRic	9.09	1.3357E-09	0.66	9.5824E-08	1	2	1	protein_coding	3	94928398	tropomodulin 4 Gene [Source:MGI (curated);Acc:MGI:1355285]
ENSMUSG00000040888	Gfer	ILMN_1219169	0k7SSKteoEn18m.ilA	9.26	1.5850E-09	0.65	1.1242E-07	1	1	2	protein_coding	17	24830136	"growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration) Gene [Source:MGI Symbol;Acc:MGI:107757]"
ENSMUSG00000028710	Atpaf1	ILMN_1258359	iUF84XQJHV7VEXtP60	9.01	1.6438E-09	0.72	1.1410E-07	1	1	2	protein_coding	4	115457589	ATP synthase mitochondrial F1 complex assembly factor 1 Gene [Source:MGI (curated);Acc:MGI:2180560]
ENSMUSG00000046152	Fut10	ILMN_3011294	xir4CSZPfSiSerRfXo	8.99	1.6460E-09	1.44	1.1410E-07	1	1	2	protein_coding	8	32297803	fucosyltransferase 10 Gene [Source:MGI (curated);Acc:MGI:2384748]
ENSMUSG00000072115	Ang	ILMN_2875251	6U5SxYl3kq9ITvvPl4	8.89	1.7374E-09	1.43	1.1842E-07	1	1	2	protein_coding	14	51715675	"angiogenin, ribonuclease, RNase A family, 5 Gene [Source:MGI Symbol;Acc:MGI:88022]"
ENSMUSG00000071178	Serpina1b	ILMN_2659680	Q3_CW9c7c5Vc15n2FE	9.09	1.7540E-09	0.45	1.1842E-07	1	2	1	protein_coding	12	104966368	"serine (or cysteine) preptidase inhibitor, clade A, member 1B Gene [Source:MGI Symbol;Acc:MGI:891970]"
ENSMUSG00000002324	Rec8	ILMN_2684093	lCUzqVdePbXoVA9V4k	8.94	1.8187E-09	1.52	1.2184E-07	1	1	2	protein_coding	14	56236874	REC8 homolog (yeast) Gene [Source:MGI (curated);Acc:MGI:1929645]
ENSMUSG00000047228	BC048546	ILMN_2531773	cuCOd3p.HXtt01Fiic	8.89	2.0206E-09	0.43	1.3381E-07	1	2	1	protein_coding	6	128489840	Ovostatin homolog Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q3UU35]
ENSMUSG00000064246	Chi3l1	ILMN_2609813	3XV.FSXhQKEUfo0LKQ	10.04	2.0684E-09	0.63	1.3421E-07	1	1	2	protein_coding	1	136078753	chitinase 3-like 1 Gene [Source:MGI (curated);Acc:MGI:1340899]
ENSMUSG00000058189	Hist1h2bm	ILMN_2891646	QKYp9WXpk8QQmdhTRs	9.09	2.0885E-09	1.61	1.3421E-07	1	1	2	protein_coding	13	21813967	"histone cluster 1, H2bm Gene [Source:MGI (curated);Acc:MGI:2448404]"
ENSMUSG00000008683	Rps15a	ILMN_2717621	BX.T0F3XO53XfHQ.dg	8.89	2.0545E-09	1.81	1.3421E-07	1	1	2	protein_coding	7	125249342	ribosomal protein S15A Gene [Source:MGI (curated);Acc:MGI:2389091]
ENSMUSG00000058581	AC163646.1	ILMN_2944843	o3ooqIeuvdB1d_K_Ho	9.56	2.7647E-09	2.02	1.7544E-07	1	2	4	protein_coding	14	56629013	"Ubiquitin-conjugating enzyme E2, J2 homolog (Yeast) Fragment  [Source:UniProtKB/TrEMBL;Acc:B0QZM0]"
ENSMUSG00000062352	Itgb1bp1	ILMN_2924243	BaXqJ6gCfnpHQhRI5A	8.89	3.2793E-09	0.56	2.0641E-07	1	1	2	protein_coding	12	21276563	integrin beta 1 binding protein 1 Gene [Source:MGI Symbol;Acc:MGI:1306802]
ENSMUSG00000045031	Cetn4	ILMN_3105936	QIUl.PJ5_uX1CK.oXU	9.09	4.3125E-09	1.77	2.6333E-07	1	1	2	protein_coding	3	37206671	centrin 4 Gene [Source:MGI (curated);Acc:MGI:2677454]
ENSMUSG00000030410	Dmwd	ILMN_2711355	9HvR16iIfJUSxV6uIo	8.89	4.3055E-09	1.61	2.6333E-07	1	3	4	protein_coding	7	19661549	dystrophia myotonica-containing WD repeat motif Gene [Source:MGI (curated);Acc:MGI:94907]
ENSMUSG00000028385	Snx30	ILMN_2705578	oi4kZSbX7XzqOXSjfs	9.56	4.2336E-09	0.48	2.6333E-07	1	1	2	protein_coding	4	59818712	sorting nexin family member 30 Gene [Source:MGI (curated);Acc:MGI:2443882]
ENSMUSG00000021595	Nsun2	ILMN_2624176	QaukNerlPTnu5.1fq8	9.09	4.5053E-09	0.69	2.7290E-07	1	1	2	protein_coding	13	69672624	NOL1/NOP2/Sun domain family member 2 Gene [Source:MGI (curated);Acc:MGI:107252]
